unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date
51963615,2021-09-23T15:39:41.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11209,7212 4 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-26T00:00:00.000,10 BROOKLYN,3059080037,BROOKLYN,977502,169787,PHONE,Unspecified,BROOKLYN,40.63270008299524,-74.02431179624521,"{'latitude': '40.63270008299524', 'longitude': '-74.02431179624521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-26T09:06:10.000
51966124,2021-09-23T15:42:51.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10452,1001 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-27T00:00:00.000,04 BRONX,2025120045,BRONX,1004203,242690,ONLINE,Unspecified,BRONX,40.832780838847206,-73.92789684704749,"{'latitude': '40.832780838847206', 'longitude': '-73.92789684704749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T10:28:41.000
51958522,2021-09-23T15:43:13.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10034,3855 10 AVENUE,10 AVENUE,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,12 MANHATTAN,1022030001,MANHATTAN,1006579,254057,PHONE,Unspecified,MANHATTAN,40.86397419827727,-73.91927296514963,"{'latitude': '40.86397419827727', 'longitude': '-73.91927296514963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51966039,2021-09-23T15:45:47.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11372,34-33 90 STREET,90 STREET,ADDRESS,Jackson Heights,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,03 QUEENS,4014510047,QUEENS,1018218,213805,ONLINE,Unspecified,QUEENS,40.75345661560227,-73.87739769071139,"{'latitude': '40.75345661560227', 'longitude': '-73.87739769071139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51965961,2021-09-23T15:45:55.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,STAIRS,RESIDENTIAL BUILDING,11215,234 4 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",2021-09-23T00:00:00.000,06 BROOKLYN,3004410034,BROOKLYN,988886,185952,PHONE,Unspecified,BROOKLYN,40.677070828995085,-73.98328623676551,"{'latitude': '40.677070828995085', 'longitude': '-73.98328623676551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51967244,2021-09-23T15:46:02.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10455,541 UNION AVENUE,UNION AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,01 BRONX,2025820042,BRONX,1010402,235194,PHONE,Unspecified,BRONX,40.8121902722021,-73.9055250624408,"{'latitude': '40.8121902722021', 'longitude': '-73.9055250624408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51961282,2021-09-23T15:48:43.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10314,1329 RICHMOND AVENUE,RICHMOND AVENUE,ADDRESS,STATEN ISLAND,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,01 STATEN ISLAND,5015160003,STATEN ISLAND,940718,163834,ONLINE,Unspecified,STATEN ISLAND,40.61625597491504,-74.1567991919651,"{'latitude': '40.61625597491504', 'longitude': '-74.1567991919651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51967649,2021-09-23T15:48:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10457,600 EAST  181 STREET,EAST  181 STREET,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,06 BRONX,2030700008,BRONX,1014464,249112,ONLINE,Unspecified,BRONX,40.85037819791208,-73.89078828601482,"{'latitude': '40.85037819791208', 'longitude': '-73.89078828601482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51958788,2021-09-23T15:48:47.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11377,41-11 52 STREET,52 STREET,ADDRESS,Woodside,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,02 QUEENS,4013150044,QUEENS,1008586,210937,PHONE,Unspecified,QUEENS,40.7456164386785,-73.91217327477462,"{'latitude': '40.7456164386785', 'longitude': '-73.91217327477462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51961324,2021-09-23T15:48:49.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11105,21-49 41 STREET,41 STREET,ADDRESS,Astoria,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,01 QUEENS,4007960014,QUEENS,1010787,221011,ONLINE,Unspecified,QUEENS,40.773260641272984,-73.90419027880417,"{'latitude': '40.773260641272984', 'longitude': '-73.90419027880417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51963764,2021-09-23T15:48:51.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11235,177 BOARDWALK,BOARDWALK,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,13 BROOKLYN,3086800001,BROOKLYN,993294,148723,PHONE,Unspecified,BROOKLYN,40.57488165246354,-73.96744434549696,"{'latitude': '40.57488165246354', 'longitude': '-73.96744434549696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51967522,2021-09-23T15:49:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11354,34-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,Flushing,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 286 - 0823 (QUEENS).",2021-09-23T00:00:00.000,07 QUEENS,4049950001,QUEENS,1033035,218627,PHONE,Unspecified,QUEENS,40.76662240767543,-73.82388312211818,"{'latitude': '40.76662240767543', 'longitude': '-73.82388312211818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51967518,2021-09-23T15:51:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11221,440 MADISON STREET,MADISON STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,03 BROOKLYN,3018260016,BROOKLYN,1000766,189165,PHONE,Unspecified,BROOKLYN,40.685875588321835,-73.94044845073937,"{'latitude': '40.685875588321835', 'longitude': '-73.94044845073937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51962254,2021-09-23T15:52:12.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,STAIRS,RESIDENTIAL BUILDING,11232,875 43 STREET,43 STREET,ADDRESS,BROOKLYN,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",2021-09-23T00:00:00.000,12 BROOKLYN,3009250042,BROOKLYN,984768,173955,PHONE,Unspecified,BROOKLYN,40.64414290795716,-73.99813342175239,"{'latitude': '40.64414290795716', 'longitude': '-73.99813342175239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51963400,2021-09-23T15:52:32.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11212,509 SARATOGA AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",2021-09-23T00:00:00.000,16 BROOKLYN,3035150025,BROOKLYN,1007235,182703,PHONE,Unspecified,BROOKLYN,40.6681244303092,-73.9171453030626,"{'latitude': '40.6681244303092', 'longitude': '-73.9171453030626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51962108,2021-09-23T15:54:52.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11226,170 WOODRUFF AVENUE,WOODRUFF AVENUE,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,14 BROOKLYN,3050630031,BROOKLYN,995263,177772,ONLINE,Unspecified,BROOKLYN,40.65461291181934,-73.96030916390882,"{'latitude': '40.65461291181934', 'longitude': '-73.96030916390882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51966009,2021-09-23T15:54:52.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,1228 WASHINGTON AVENUE,WASHINGTON AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2021-09-23T00:00:00.000,03 BRONX,2023730001,BRONX,1010069,242269,PHONE,Unspecified,BRONX,40.831610114815895,-73.90670081234899,"{'latitude': '40.831610114815895', 'longitude': '-73.90670081234899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-23T19:54:31.000
51967003,2021-09-23T15:55:21.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10459,1049 FOX STREET,FOX STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-27T00:00:00.000,02 BRONX,2027170048,BRONX,1013616,239903,PHONE,Unspecified,BRONX,40.825105044177576,-73.89389378938704,"{'latitude': '40.825105044177576', 'longitude': '-73.89389378938704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T18:12:44.000
51966211,2021-09-23T15:58:12.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10468,58 EAST  190 STREET,EAST  190 STREET,ADDRESS,BRONX,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 579-6777 (BRONX).",2021-09-23T00:00:00.000,07 BRONX,2031740022,BRONX,1012311,253724,ONLINE,Unspecified,BRONX,40.86304385492859,-73.89855121946627,"{'latitude': '40.86304385492859', 'longitude': '-73.89855121946627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51963665,2021-09-23T15:58:20.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10463,3816 REVIEW PLACE,REVIEW PLACE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,08 BRONX,2032710132,BRONX,1012016,261732,ONLINE,Unspecified,BRONX,40.88502426998677,-73.89958454267529,"{'latitude': '40.88502426998677', 'longitude': '-73.89958454267529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51966377,2021-09-23T15:58:34.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11232,875 43 STREET,43 STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,12 BROOKLYN,3009250042,BROOKLYN,984768,173955,PHONE,Unspecified,BROOKLYN,40.64414290795716,-73.99813342175239,"{'latitude': '40.64414290795716', 'longitude': '-73.99813342175239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51961298,2021-09-23T16:01:14.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11216,187 CLIFTON PLACE,CLIFTON PLACE,ADDRESS,BROOKLYN,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",2021-09-23T00:00:00.000,03 BROOKLYN,3019500052,BROOKLYN,996361,190142,PHONE,Unspecified,BROOKLYN,40.68856435255783,-73.95632974872042,"{'latitude': '40.68856435255783', 'longitude': '-73.95632974872042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51963514,2021-09-23T16:01:21.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10463,3816 REVIEW PLACE,REVIEW PLACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2021-09-23T00:00:00.000,08 BRONX,2032710132,BRONX,1012016,261732,ONLINE,Unspecified,BRONX,40.88502426998677,-73.89958454267529,"{'latitude': '40.88502426998677', 'longitude': '-73.89958454267529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-23T18:26:56.000
51961192,2021-09-23T16:04:26.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10453,1740 GRAND AVENUE,GRAND AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,05 BRONX,2028670108,BRONX,1008178,248685,PHONE,Unspecified,BRONX,40.84922548258086,-73.91351120825729,"{'latitude': '40.84922548258086', 'longitude': '-73.91351120825729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51958530,2021-09-23T16:07:22.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11211,291 METROPOLITAN AVENUE,METROPOLITAN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-26T00:00:00.000,01 BROOKLYN,3023537502,BROOKLYN,995909,199630,ONLINE,Unspecified,BROOKLYN,40.714607293907804,-73.95794315947035,"{'latitude': '40.714607293907804', 'longitude': '-73.95794315947035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-26T07:42:45.000
51959617,2021-09-23T16:10:21.000,HPD,Department of Housing Preservation and Development,GENERAL,SIGNAGE MISSING,RESIDENTIAL BUILDING,10023,144 WEST   70 STREET,WEST   70 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,07 MANHATTAN,1011410049,MANHATTAN,989432,222267,PHONE,Unspecified,MANHATTAN,40.77674634556815,-73.9812898267006,"{'latitude': '40.77674634556815', 'longitude': '-73.9812898267006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51958734,2021-09-23T16:10:32.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10452,1001 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-24T00:00:00.000,04 BRONX,2025120045,BRONX,1004203,242690,ONLINE,Unspecified,BRONX,40.832780838847206,-73.92789684704749,"{'latitude': '40.832780838847206', 'longitude': '-73.92789684704749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-24T15:45:42.000
51967646,2021-09-23T16:13:18.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11249,65 NORTH    6 STREET,NORTH    6 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-28T00:00:00.000,01 BROOKLYN,3023250024,BROOKLYN,994939,201315,PHONE,Unspecified,BROOKLYN,40.71923343957639,-73.96143950860304,"{'latitude': '40.71923343957639', 'longitude': '-73.96143950860304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-28T15:10:04.000
51965011,2021-09-23T16:13:21.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10023,144 WEST   70 STREET,WEST   70 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-27T00:00:00.000,07 MANHATTAN,1011410049,MANHATTAN,989432,222267,PHONE,Unspecified,MANHATTAN,40.77674634556815,-73.9812898267006,"{'latitude': '40.77674634556815', 'longitude': '-73.9812898267006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T14:48:07.000
51963768,2021-09-23T16:13:26.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10028,432 EAST   83 STREET,EAST   83 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-26T00:00:00.000,08 MANHATTAN,1015620030,MANHATTAN,998112,221474,PHONE,Unspecified,MANHATTAN,40.7745604186599,-73.9499513854123,"{'latitude': '40.7745604186599', 'longitude': '-73.9499513854123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-26T18:53:29.000
51966086,2021-09-23T16:13:28.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,1178 CLAY AVENUE,CLAY AVENUE,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2021-09-24T00:00:00.000,04 BRONX,2024260053,BRONX,1008879,242287,ONLINE,Unspecified,BRONX,40.83166291826502,-73.91100091106671,"{'latitude': '40.83166291826502', 'longitude': '-73.91100091106671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-24T20:52:56.000
51959775,2021-09-23T16:13:29.000,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,11249,65 NORTH    6 STREET,NORTH    6 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-28T00:00:00.000,01 BROOKLYN,3023250024,BROOKLYN,994939,201315,PHONE,Unspecified,BROOKLYN,40.71923343957639,-73.96143950860304,"{'latitude': '40.71923343957639', 'longitude': '-73.96143950860304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-28T15:10:04.000
51967795,2021-09-23T16:13:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10457,1466 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-24T00:00:00.000,04 BRONX,2028320040,BRONX,1008379,245547,PHONE,Unspecified,BRONX,40.840612050743175,-73.91279597705399,"{'latitude': '40.840612050743175', 'longitude': '-73.91279597705399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-24T20:52:56.000
51960848,2021-09-23T16:16:19.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10031,524 WEST  145 STREET,WEST  145 STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2021-09-25T00:00:00.000,09 MANHATTAN,1020760049,MANHATTAN,998506,240068,PHONE,Unspecified,MANHATTAN,40.82559523370864,-73.94848937549985,"{'latitude': '40.82559523370864', 'longitude': '-73.94848937549985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-25T19:11:15.000
51962260,2021-09-23T16:16:19.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11417,150-10 99 PLACE,99 PLACE,ADDRESS,Ozone Park,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 286 - 0823 (QUEENS).",2021-09-23T00:00:00.000,10 QUEENS,,QUEENS,1029995,183012,PHONE,Unspecified,QUEENS,40.668884220797025,-73.8350997189437,"{'latitude': '40.668884220797025', 'longitude': '-73.8350997189437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51958641,2021-09-23T16:16:34.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10032,452 WEST  164 STREET,WEST  164 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,12 MANHATTAN,1021100070,MANHATTAN,1001400,244180,PHONE,Unspecified,MANHATTAN,40.83687634543432,-73.93802209397406,"{'latitude': '40.83687634543432', 'longitude': '-73.93802209397406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51959686,2021-09-23T16:17:23.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11212,7 HEGEMAN AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-28T00:00:00.000,16 BROOKLYN,3036210001,BROOKLYN,1008705,178138,PHONE,Unspecified,BROOKLYN,40.65559058142622,-73.91186291184383,"{'latitude': '40.65559058142622', 'longitude': '-73.91186291184383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-28T02:02:41.000
51963656,2021-09-23T16:22:34.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11417,150-10 99 PLACE,99 PLACE,ADDRESS,Ozone Park,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,10 QUEENS,,QUEENS,1029995,183012,PHONE,Unspecified,QUEENS,40.668884220797025,-73.8350997189437,"{'latitude': '40.668884220797025', 'longitude': '-73.8350997189437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51959782,2021-09-23T16:22:49.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10023,123 COLUMBUS AVENUE,COLUMBUS AVENUE,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,07 MANHATTAN,1011180001,MANHATTAN,989238,220931,PHONE,Unspecified,MANHATTAN,40.773079487804715,-73.9819912764294,"{'latitude': '40.773079487804715', 'longitude': '-73.9819912764294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51960956,2021-09-23T16:25:42.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11218,482 OCEAN PARKWAY,OCEAN PARKWAY,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,12 BROOKLYN,3053890041,BROOKLYN,991777,171294,ONLINE,Unspecified,BROOKLYN,40.63683584990945,-73.97287993001439,"{'latitude': '40.63683584990945', 'longitude': '-73.97287993001439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51962410,2021-09-23T16:29:02.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11377,61-05 39 AVENUE,39 AVENUE,ADDRESS,Woodside,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-27T00:00:00.000,02 QUEENS,4012167502,QUEENS,1011271,211498,PHONE,Unspecified,QUEENS,40.747148445398274,-73.90248107295426,"{'latitude': '40.747148445398274', 'longitude': '-73.90248107295426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T16:01:25.000
51963847,2021-09-23T16:29:13.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10304,160 PARKHILL AVENUE,PARKHILL AVENUE,ADDRESS,STATEN ISLAND,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,01 STATEN ISLAND,5029220265,STATEN ISLAND,961623,163622,PHONE,Unspecified,STATEN ISLAND,40.61575212737598,-74.08150021029086,"{'latitude': '40.61575212737598', 'longitude': '-74.08150021029086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
